candidateId,value,universidad homologada
630665b8594e18004af04f8c,Cibertec,No Homologada
630665b8594e18004af04f94,Instituto Superior Tecnologico Sise,No Homologada
630665b8594e18004af04f9a,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04f9a,Centro Peruano De  Estudios Bancarios - Cepeban,No Homologada
630665b8594e18004af04fa4,Certus,No Homologada
630665b8594e18004af04fa4,Universidad Alas Peruanas,No Homologada
630665b8594e18004af04fb4,Certus,No Homologada
630665b8594e18004af04fbb,Idad,No Homologada
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos,universidad nacional mayor de san marcos
630665b8594e18004af04fcb,Instituto Certus,No Homologada
630665b8594e18004af04fcb,Vasili Sujomlinsky,No Homologada
630665b8594e18004af04fd2,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af04fdf,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos,universidad nacional mayor de san marcos
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm,No Homologada
630665b8594e18004af04fe8,Instituto Columbia,No Homologada
630665b8594e18004af04ff0,Ifb Certus,No Homologada
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos,universidad nacional mayor de san marcos
630665b8594e18004af05008,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af05010,Instituto Certus,No Homologada
630665b8594e18004af05019,Iestp Argentina,No Homologada
630665b8594e18004af05020,Universidad Catolica Los Angeles De Chimbote,No Homologada
630665b8594e18004af05027,Certus,No Homologada
630665b8594e18004af0502e,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af05038,Universidad Católica Los Ángeles De Chimbote,No Homologada
630665b8594e18004af0503f,Universidad Nacional Pedro Ruiz Gallo - Unprg,No Homologada
630665b8594e18004af05047,Cibertec,No Homologada
630665b8594e18004af05057,Senati,No Homologada
630665b8594e18004af0505d,Universidad De San Martin De Porres - Usmp,universidad de san martín de porres
630665b8594e18004af05064,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af0506a,Instituto Ifb Certus,No Homologada
630665b8594e18004af05073,Universidad Tecnologica Del Peru,No Homologada
630665b8594e18004af0507f,Senati,No Homologada
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana,universidad nacional de la amazonía peruana
630665b8594e18004af0509a,Universidad Católica Sedes Sapientiae,universidad católica sedes sapientiae
630665b8594e18004af0509a,Cet N° 34,No Homologada
630665b8594e18004af050a1,Universidad Católica Sedes Sapientiae,universidad católica sedes sapientiae
630665b8594e18004af050a7,Instituto Sise,No Homologada
630665b8594e18004af050ae,Telesup,No Homologada
630665b8594e18004af050b7,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af050c1,Cepeban,No Homologada
630665b8594e18004af050c8,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af050ce,Itae,No Homologada
630665b8594e18004af050d4,Instituto Cibertec,No Homologada
630665b8594e18004af050dd,San Juan Bosco De Huanuco,No Homologada
630665b8594e18004af050e4,Juan Bosco De Huánuco,No Homologada
630665b8594e18004af050eb,Instituto San Juan Sullana,No Homologada
630665b8594e18004af050f2,Ifb- Certus,No Homologada
630665b8594e18004af050f2,Iep. San Carlos,No Homologada
630665b8594e18004af050fa,Instituto Privado Certus,No Homologada
630665b8594e18004af05101,Adminitracion,No Homologada
630665b8594e18004af05109,Instituto Superior Sise,No Homologada
630665b8594e18004af05110,Senati,No Homologada
630665b8594e18004af05110,Estudios Secundarios,No Homologada
630665b8594e18004af05119,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af05119,Cibertec,No Homologada
630665b8594e18004af05123,Unmsm,Universidad Nacional Mayor de San Marcos
630665b8594e18004af05129,Instituto Superior Tecnologico Privado Blaise Pascal,No Homologada
630665b8594e18004af0513b,Juan Pablo Peregrino,No Homologada
630665b8594e18004af05142,Cepeban,No Homologada
630665b8594e18004af05149,Universidad De San Martin De Porres,universidad de san martín de porres
630665b8594e18004af0514f,Certus,No Homologada
630665b8594e18004af05156,Instituto De Educación Superior Tecnológico Privado De Formación Bancaria,No Homologada
630665b8594e18004af0515d,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af05165,Ifb Certus,No Homologada
630665b8594e18004af0516d,Universidad De Ciencias Aplicadas,No Homologada
630665b8594e18004af0516d,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af05179,Universidad Privada San Juan Bautista,universidad privada san juan bautista s.a.c.
630665b8594e18004af05179,Centro De Idiomas De La Catolica,No Homologada
630665b8594e18004af05184,Certus,No Homologada
630665b8594e18004af0518c,Instituto Fibonacci,No Homologada
630665b8594e18004af05192,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af05192,Instituto Beta,No Homologada
630665b8594e18004af05192,Isil,No Homologada
630665b8594e18004af0519c,Universidad Nacional De La Amazonia Peruana,universidad nacional de la amazonía peruana
630665b8594e18004af051a4,Instituto Certus,No Homologada
630665b8594e18004af051ab,Universidad Nacional De Tumbes,universidad nacional de tumbes
630665b8594e18004af051b3,Universida Nacional De La Amazonia Peruana,No Homologada
630665b8594e18004af051ba,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af051c2,Isam,No Homologada
630665b8594e18004af051c8,Instituto La Pontificia,No Homologada
630665b8594e18004af051cf,Idat,No Homologada
630665b8594e18004af051cf,Ábaco,No Homologada
630665b8594e18004af051de,Administración De Empresas,No Homologada
630665b8594e18004af051de,I.e Virgen Dolorosa,No Homologada
630665b8594e18004af051e5,Universidad Privada Del Norte - Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af051e5,Icpna,No Homologada
630665b8594e18004af051ec,Senati,No Homologada
630665b8594e18004af051f8,Computron,No Homologada
630665b8594e18004af051ff,Universidad Autónoma Del Perú,universidad autónoma del perú s.a.c.
630665b8594e18004af05206,Instituto San Ignacio De Loyola,No Homologada
630665b8594e18004af0520c,Idat,No Homologada
630665b8594e18004af05215,Universidad Científica Del Sur,universidad científica del sur s.a.c.
630665b8594e18004af05220,Universidad Católica Sede Sapientiae,universidad católica sedes sapientiae
630665b8594e18004af05227,Certus,No Homologada
630665b8594e18004af0522e,Ucv,Universidad César Vallejo S.A.C.
630665b8594e18004af05235,Certus,No Homologada
630665b8594e18004af05235,Ifb,No Homologada
630665b8594e18004af05240,Idat,No Homologada
